loc_date,yx,pcs/m
"('anarchy-beach', '2021-03-24')",Year 6,5.98
"('arabie', '2016-01-24')",Year 1,50.06
"('arabie', '2016-04-02')",Year 1,15.74
"('arabie', '2016-08-25')",Year 1,12.99
"('baby-plage-geneva', '2020-11-18')",Year 6,0.88
"('baby-plage-geneva', '2020-12-16')",Year 6,1.5
"('baby-plage-geneva', '2021-01-16')",Year 6,1.89
"('baby-plage-geneva', '2021-02-10')",Year 6,1.13
"('baby-plage-geneva', '2021-03-10')",Year 6,0.5
"('baby-plage-geneva', '2021-04-14')",Year 6,0.58
"('baby-plage-ii-geneve', '2020-12-08')",Year 6,0.22000000000000003
"('bain-des-dames', '2016-03-26')",Year 1,34.97
"('baye-de-clarens', '2015-11-24')",Year 1,1.65
"('baye-de-clarens', '2015-12-02')",Year 1,0.64
"('baye-de-clarens', '2015-12-08')",Year 1,3.33
"('baye-de-clarens', '2015-12-16')",Year 1,2.74
"('baye-de-clarens', '2016-01-06')",Year 1,1.85
"('baye-de-clarens', '2016-01-23')",Year 1,8.38
"('baye-de-clarens', '2016-02-10')",Year 1,2.0300000000000002
"('baye-de-clarens', '2016-03-24')",Year 1,3.18
"('baye-de-clarens', '2016-03-31')",Year 1,7.260000000000001
"('baye-de-clarens', '2016-04-07')",Year 1,4.74
"('baye-de-clarens', '2016-04-14')",Year 1,0.8500000000000001
"('baye-de-clarens', '2016-05-10')",Year 1,4.21
"('baye-de-clarens', '2016-05-17')",Year 1,1.6
"('baye-de-montreux-d', '2015-12-04')",Year 1,6.9799999999999995
"('baye-de-montreux-d', '2015-12-10')",Year 1,9.65
"('baye-de-montreux-d', '2015-12-17')",Year 1,2.56
"('baye-de-montreux-d', '2016-01-07')",Year 1,2.3899999999999997
"('baye-de-montreux-d', '2016-01-19')",Year 1,1.59
"('baye-de-montreux-d', '2016-03-24')",Year 1,2.8699999999999997
"('baye-de-montreux-d', '2016-04-07')",Year 1,3.73
"('baye-de-montreux-d', '2016-04-14')",Year 1,2.13
"('baye-de-montreux-d', '2016-05-17')",Year 1,4.93
"('baye-de-montreux-d', '2016-05-28')",Year 1,4.88
"('baye-de-montreux-d', '2016-06-28')",Year 1,10.67
"('baye-de-montreux-d', '2016-07-05')",Year 1,4.35
"('baye-de-montreux-d', '2016-07-10')",Year 1,5.36
"('baye-de-montreux-d', '2016-07-16')",Year 1,14.53
"('baye-de-montreux-d', '2016-07-19')",Year 1,6.98
"('baye-de-montreux-g', '2015-11-23')",Year 1,5.75
"('baye-de-montreux-g', '2015-12-04')",Year 1,8.4
"('baye-de-montreux-g', '2015-12-10')",Year 1,5.07
"('baye-de-montreux-g', '2015-12-17')",Year 1,4.22
"('baye-de-montreux-g', '2015-12-30')",Year 1,5.890000000000001
"('baye-de-montreux-g', '2016-01-13')",Year 1,6.37
"('baye-de-montreux-g', '2016-01-19')",Year 1,1.26
"('baye-de-montreux-g', '2016-02-11')",Year 1,1.9
"('baye-de-montreux-g', '2016-03-10')",Year 1,3.11
"('baye-de-montreux-g', '2016-06-22')",Year 1,3.59
"('baye-de-montreux-g', '2016-07-15')",Year 1,5.43
"('boiron', '2016-04-28')",Year 1,3.3
"('cully-plage', '2021-02-04')",Year 6,6.14
"('grand-clos', '2016-09-21')",Year 1,41.47
"('grand-clos', '2020-12-08')",Year 6,23.03
"('grand-clos', '2021-01-07')",Year 6,6.25
"('grand-clos', '2021-02-09')",Year 6,2.58
"('grand-clos', '2021-03-09')",Year 6,49.52
"('grand-clos', '2021-04-10')",Year 6,17.71
"('jardin-botanique', '2016-04-24')",Year 1,15.42
"('jardin-botanique', '2016-05-03')",Year 1,5.76
"('jardin-botanique', '2016-05-08')",Year 1,4.85
"('la-pecherie', '2021-01-22')",Year 6,8.92
"('lavey-la-source', '2021-01-05')",Year 6,4.55
"('lavey-les-bains', '2021-01-05')",Year 6,1.16
"('lavey-les-bains-2', '2021-02-24')",Year 6,4.17
"('le-pierrier', '2016-01-13')",Year 1,11.36
"('le-pierrier', '2016-03-14')",Year 1,26.82
"('le-pierrier', '2016-05-30')",Year 1,14.83
"('le-pierrier', '2020-11-17')",Year 6,2.6799999999999997
"('le-port', '2016-04-19')",Year 1,33.55
"('les-glariers', '2020-12-01')",Year 6,0.09
"('leuk-mattenstrasse', '2021-02-14')",Year 6,0.3
"('maladaire', '2016-03-31')",Year 1,12.25
"('maladaire', '2016-05-31')",Year 1,11.72
"('maladaire', '2020-11-27')",Year 6,1.58
"('maladaire', '2020-12-29')",Year 6,2.3200000000000003
