yx,loc_date,date,slug,team,pcs/m,quantity
Year 1,"('arabie', '2016-01-24')",2016-01-24,arabie,HD,50.06,2003.0
Year 1,"('arabie', '2016-04-02')",2016-04-02,arabie,HD,15.74,630.0
Year 1,"('arabie', '2016-08-25')",2016-08-25,arabie,HD,12.99,521.0
Year 1,"('bain-des-dames', '2016-03-26')",2016-03-26,bain-des-dames,HD,34.97,594.0
Year 1,"('baye-de-clarens', '2015-11-24')",2015-11-24,baye-de-clarens,HD,1.65,117.0
Year 1,"('baye-de-clarens', '2015-12-02')",2015-12-02,baye-de-clarens,HD,0.64,47.0
Year 1,"('baye-de-clarens', '2015-12-08')",2015-12-08,baye-de-clarens,HD,3.33,234.0
Year 1,"('baye-de-clarens', '2015-12-16')",2015-12-16,baye-de-clarens,HD,2.74,192.0
Year 1,"('baye-de-clarens', '2016-01-06')",2016-01-06,baye-de-clarens,HD,1.85,133.0
Year 1,"('baye-de-clarens', '2016-01-23')",2016-01-23,baye-de-clarens,HD,8.38,580.0
Year 1,"('baye-de-clarens', '2016-02-10')",2016-02-10,baye-de-clarens,HD,2.0300000000000002,146.0
Year 1,"('baye-de-clarens', '2016-03-24')",2016-03-24,baye-de-clarens,HD,3.18,222.0
Year 1,"('baye-de-clarens', '2016-03-31')",2016-03-31,baye-de-clarens,HD,7.260000000000001,503.0
Year 1,"('baye-de-clarens', '2016-04-07')",2016-04-07,baye-de-clarens,HD,4.74,329.0
Year 1,"('baye-de-clarens', '2016-04-14')",2016-04-14,baye-de-clarens,HD,0.8500000000000001,60.0
Year 1,"('baye-de-clarens', '2016-05-10')",2016-05-10,baye-de-clarens,HD,4.21,291.0
Year 1,"('baye-de-clarens', '2016-05-17')",2016-05-17,baye-de-clarens,HD,1.6,114.0
Year 1,"('baye-de-montreux-d', '2015-12-04')",2015-12-04,baye-de-montreux-d,HD,6.9799999999999995,422.0
Year 1,"('baye-de-montreux-d', '2015-12-10')",2015-12-10,baye-de-montreux-d,HD,9.65,589.0
