slug,latitude,longitude,city,water_name,water
aabach,47.220989,8.940365,Schmerikon,Zürichsee,l
aare-limmatspitz,47.50106,8.237371,Gebenstorf,Aare,r
aare-port,47.11617,7.26955,Port,Nidau-Büren-Kanal,r
aare-solothurn-lido-strand,47.196949,7.521643,Solothurn,Aare,r
aare_bern_caveltin,46.9235788,7.4733191,Muri bei Bern,Aare,r
aare_bern_gerberm,46.9893631,7.4520977,Bern,Aare,r
aare_bern_scheurerk,46.9709672,7.4525857,Bern,Aare,r
aare_brugg_buchie,47.4948553,8.2365581,Brugg,Aare,r
aare_elfenau_cataldiv,46.9310201,7.4629605,Bern,Aare,r
aare_kehrsatz_stolten,46.9235719,7.4883011,Belp,Aare,r
aare_koniz_hoppej,46.9345885,7.4581703,Köniz,Aare,r
aare_post,47.116665,7.271953,Port,Nidau-Büren-Kanal,r
aare_rupperswil_badert,47.410309,8.1125537,Rupperswil,Aare,r
aare_solothurn_nguyena,47.1977495,7.5242247,Solothurn,Aare,r
aare_suhrespitz_badert,47.4056692,8.066018,Aarau,Aare,r
aarezufluss_bern_scheurerk,46.9710097,7.4527897,Bern,Aare,r
anarchy-beach,46.447216,6.859612,La Tour-de-Peilz,Lac Léman,l
arabie,46.462099,6.834972,Vevey,Lac Léman,l
arve_carouge_battistellak,46.1784912,6.1543187,Veyrier,Arve,r
ascona-traghetto-spiaggia,46.153882,8.76848,Ascona,Lago Maggiore,l
augustmutzenbergstrandweg,46.68664,7.68976,Spiez,Thunersee,l
baby-plage-geneva,46.208558,6.162923,Genève,Lac Léman,l
baby-plage-ii-geneve,46.20894,6.16433,Genève,Lac Léman,l
bain-des-dames,46.4505068,6.8580918,La Tour-de-Peilz,Lac Léman,l
baye-de-clarens,46.439787,6.888903,Montreux,Lac Léman,l
baye-de-montreux-d,46.430962,6.908673,Montreux,Lac Léman,l
baye-de-montreux-g,46.430834,6.908778,Montreux,Lac Léman,l
beich,47.048495,7.200528,Walperswil,Aare,r
berlingen-swisslitterreport,47.6724312,9.0110553,Berlingen,Untersee,l
bern-fahrstrasse,46.975866,7.44421,Bern,Aare,r
bern-tiergarten,46.9331574,7.4520041,Bern,Aare,r
bielersee_vinelz_fankhausers,47.0383984,7.1083114,Vinelz,Bielersee,l
birs_basel_grunern,47.5511276,7.6221988,Basel,Birs,r
birs_basel_laderachs,47.5460497,7.6225981,Basel,Birs,r
birs_reinach_dinuccin,47.5036817,7.6070085,Reinach (BL),Birs,r
birskopfli-rusco,47.5577429,7.6172916,Birsfelden,Birs,r
bodensee_altenrhein_caluoria,47.4865069,9.5439664,Thal,Bodensee,l
bodensee_arbon_moslis,47.5208887,9.431144,Arbon,Bodensee,l
bodensee_horn_huberm,47.4982757,9.4569782,Horn,Bodensee,l
bodensee_steinach_dolder_a,47.5062992,9.4361714,Steinach,Bodensee,l
bodensee_thal_schlachterj_1,47.4862163,9.5439099,Thal,Bodensee,l
boiron,46.4910297,6.4801618,Tolochenaz,Lac Léman,l
brugg-be-buren-bsg-standort,47.12222,7.28141,Brügg,Nidau-Büren-Kanal,r
camp-des-peches,47.052812,7.074053,Le Landeron,Bielersee,l
camping-gwatt-strand,46.72714,7.62962,Thun,Thunersee,l
canale-saleggi,46.2006245,9.015853,Bellinzona,Ticino,r
caprino,45.9879627,8.9862407,Lugano,Lago di Lugano,l
chriesbach_duebendorf_schneidera,47.4029195,8.6051458,Dübendorf,Chriesbach,r
cully-plage,46.4888866,6.7413961,Bourg-en-Lavaux,Lac Léman,l
delta-park,46.720078,7.635304,Spiez,Thunersee,l
emme_biberist_jennim,47.1692208,7.5589948,Biberist,Emme,r
emme_luterbach_huggenbergerk,47.2119442,7.5740144,Zuchwil,Emme,r
emme_utzenstorf_gruttert,47.123696,7.539627,Utzenstorf,Emme,r
erlach-camping-strand,47.047159,7.097854,Erlach,Bielersee,l
