loc_date,yx,pcs_m
"('anarchy-beach', '2021-03-24')",y6,5.98
"('arabie', '2016-01-24')",y1,50.06
"('arabie', '2016-04-02')",y1,15.74
"('arabie', '2016-08-25')",y1,12.99
"('baby-plage-geneva', '2020-11-18')",y6,0.88
"('baby-plage-geneva', '2020-12-16')",y6,1.5
"('baby-plage-geneva', '2021-01-16')",y6,1.8900000000000001
"('baby-plage-geneva', '2021-02-10')",y6,1.13
"('baby-plage-geneva', '2021-03-10')",y6,0.5
"('baby-plage-geneva', '2021-04-14')",y6,0.58
"('baby-plage-ii-geneve', '2020-12-08')",y6,0.22
"('bain-des-dames', '2016-03-26')",y1,34.97
"('baye-de-clarens', '2015-11-24')",y1,1.65
"('baye-de-clarens', '2015-12-02')",y1,0.64
"('baye-de-clarens', '2015-12-08')",y1,3.33
"('baye-de-clarens', '2015-12-16')",y1,2.7399999999999998
"('baye-de-clarens', '2016-01-06')",y1,1.85
"('baye-de-clarens', '2016-01-23')",y1,8.38
"('baye-de-clarens', '2016-02-10')",y1,2.0300000000000002
"('baye-de-clarens', '2016-03-24')",y1,3.1799999999999997
"('baye-de-clarens', '2016-03-31')",y1,7.26
"('baye-de-clarens', '2016-04-07')",y1,4.74
"('baye-de-clarens', '2016-04-14')",y1,0.8500000000000001
"('baye-de-clarens', '2016-05-10')",y1,4.21
"('baye-de-clarens', '2016-05-17')",y1,1.6
"('baye-de-montreux-d', '2015-12-04')",y1,6.9799999999999995
"('baye-de-montreux-d', '2015-12-10')",y1,9.65
"('baye-de-montreux-d', '2015-12-17')",y1,2.56
"('baye-de-montreux-d', '2016-01-07')",y1,2.39
"('baye-de-montreux-d', '2016-01-19')",y1,1.59
"('baye-de-montreux-d', '2016-03-24')",y1,2.87
"('baye-de-montreux-d', '2016-04-07')",y1,3.73
"('baye-de-montreux-d', '2016-04-14')",y1,2.1300000000000003
"('baye-de-montreux-d', '2016-05-17')",y1,4.93
"('baye-de-montreux-d', '2016-05-28')",y1,4.88
"('baye-de-montreux-d', '2016-06-28')",y1,10.67
