loc_date,pcs_m
"('anarchy-beach', '2018-04-02')",13.600000000000001
"('anarchy-beach', '2021-03-24')",5.98
"('arabie', '2016-01-24')",50.06
"('arabie', '2016-04-02')",15.74
"('arabie', '2016-08-25')",12.99
"('arabie', '2017-02-16')",3.81
"('arabie', '2018-05-08')",4.9399999999999995
"('baby-plage-geneva', '2020-05-05')",2.14
"('baby-plage-geneva', '2020-06-09')",2.56
"('baby-plage-geneva', '2020-07-07')",17.88
"('baby-plage-geneva', '2020-08-18')",2.69
"('baby-plage-geneva', '2020-10-20')",2.4
"('baby-plage-geneva', '2020-11-18')",0.88
"('baby-plage-geneva', '2020-12-16')",1.5
"('baby-plage-geneva', '2021-01-16')",1.8900000000000001
"('baby-plage-geneva', '2021-02-10')",1.13
"('baby-plage-geneva', '2021-03-10')",0.5
"('baby-plage-geneva', '2021-04-14')",0.58
"('baby-plage-ii-geneve', '2020-11-01')",1.29
"('baby-plage-ii-geneve', '2020-12-08')",0.22
"('bain-des-dames', '2016-03-26')",34.97
"('bain-des-dames', '2017-05-19')",17.54
"('bain-des-dames', '2018-07-22')",18.97
"('bain-des-dames', '2020-06-11')",9.69
"('baye-de-clarens', '2015-11-24')",1.65
"('baye-de-clarens', '2015-12-02')",0.64
"('baye-de-clarens', '2015-12-08')",3.33
"('baye-de-clarens', '2015-12-16')",2.7399999999999998
"('baye-de-clarens', '2016-01-06')",1.85
"('baye-de-clarens', '2016-01-23')",8.38
"('baye-de-clarens', '2016-02-10')",2.0300000000000002
"('baye-de-clarens', '2016-03-24')",3.1799999999999997
"('baye-de-clarens', '2016-03-31')",7.26
"('baye-de-clarens', '2016-04-07')",4.74
"('baye-de-clarens', '2016-04-14')",0.8500000000000001
"('baye-de-clarens', '2016-05-10')",4.21
"('baye-de-clarens', '2016-05-17')",1.6
"('baye-de-montreux-d', '2015-12-04')",6.9799999999999995
"('baye-de-montreux-d', '2015-12-10')",9.65
"('baye-de-montreux-d', '2015-12-17')",2.56
"('baye-de-montreux-d', '2016-01-07')",2.39
"('baye-de-montreux-d', '2016-01-19')",1.59
"('baye-de-montreux-d', '2016-03-24')",2.87
"('baye-de-montreux-d', '2016-04-07')",3.73
"('baye-de-montreux-d', '2016-04-14')",2.1300000000000003
"('baye-de-montreux-d', '2016-05-17')",4.93
"('baye-de-montreux-d', '2016-05-28')",4.88
"('baye-de-montreux-d', '2016-06-28')",10.67
"('baye-de-montreux-d', '2016-07-05')",4.35
"('baye-de-montreux-d', '2016-07-10')",5.36
"('baye-de-montreux-d', '2016-07-16')",14.53
"('baye-de-montreux-d', '2016-07-19')",6.9799999999999995
"('baye-de-montreux-d', '2016-12-16')",2.5700000000000003
"('baye-de-montreux-g', '2015-11-23')",5.75
"('baye-de-montreux-g', '2015-12-04')",8.4
"('baye-de-montreux-g', '2015-12-10')",5.07
"('baye-de-montreux-g', '2015-12-17')",4.22
"('baye-de-montreux-g', '2015-12-30')",5.890000000000001
"('baye-de-montreux-g', '2016-01-13')",6.37
"('baye-de-montreux-g', '2016-01-19')",1.2600000000000002
"('baye-de-montreux-g', '2016-02-11')",1.9
"('baye-de-montreux-g', '2016-03-10')",3.1100000000000003
"('baye-de-montreux-g', '2016-06-22')",3.59
"('baye-de-montreux-g', '2016-07-15')",5.43
"('baye-de-montreux-g', '2016-12-16')",12.37
"('baye-de-montreux-g', '2020-05-07')",3.26
"('baye-de-montreux-g', '2020-06-02')",4.22
"('baye-de-montreux-g', '2020-07-14')",5.8100000000000005
"('baye-de-montreux-g', '2020-08-11')",8.65
"('baye-de-montreux-g', '2020-09-08')",2.2399999999999998
"('baye-de-montreux-g', '2020-10-15')",2.64
"('boiron', '2016-04-28')",3.3000000000000003
"('boiron', '2020-11-04')",1.76
"('cully-plage', '2020-06-25')",3.89
"('cully-plage', '2021-02-04')",6.14
"('grand-clos', '2016-09-21')",41.47
"('grand-clos', '2017-10-22')",6.55
"('grand-clos', '2020-05-07')",15.92
"('grand-clos', '2020-06-09')",15.879999999999999
"('grand-clos', '2020-07-07')",52.73
"('grand-clos', '2020-08-06')",42.31
"('grand-clos', '2020-09-08')",13.63
"('grand-clos', '2020-10-06')",20.78
"('grand-clos', '2020-12-08')",23.03
"('grand-clos', '2021-01-07')",6.25
"('grand-clos', '2021-02-09')",2.58
"('grand-clos', '2021-03-09')",49.52
"('grand-clos', '2021-04-10')",17.71
"('jardin-botanique', '2016-04-24')",15.42
"('jardin-botanique', '2016-05-03')",5.76
"('jardin-botanique', '2016-05-08')",4.85
"('la-morges', '2017-04-09')",5.63
"('la-pecherie', '2020-06-23')",5.6000000000000005
"('la-pecherie', '2020-10-06')",7.16
"('la-pecherie', '2021-01-22')",8.92
"('lacleman_gland_kubela', '2017-05-25')",13.85
"('lacleman_gland_kubela', '2017-06-28')",6.83
"('lacleman_gland_kubela', '2017-07-25')",6.29
"('lacleman_gland_kubela', '2017-08-29')",4.0
"('lacleman_gland_kubela', '2017-09-28')",5.84
"('lacleman_gland_kubela', '2017-10-26')",0.9800000000000001
"('lacleman_gland_kubela', '2017-11-28')",5.26
"('lacleman_gland_kubela', '2017-12-16')",2.69
"('lacleman_gland_kubela', '2018-01-19')",3.41
"('lacleman_gland_kubela', '2018-02-19')",0.71
"('lacleman_gland_kubela', '2018-03-18')",31.98
"('lacleman_gland_lecoanets', '2017-07-11')",0.55
"('lacleman_gland_lecoanets', '2017-08-07')",1.27
"('lacleman_gland_lecoanets', '2017-09-12')",0.74
"('lacleman_gland_lecoanets', '2017-10-10')",0.81
"('lacleman_gland_lecoanets', '2017-11-17')",1.0
"('lacleman_gland_lecoanets', '2017-12-16')",0.29
"('lacleman_gland_lecoanets', '2018-01-19')",0.23
"('lacleman_gland_lecoanets', '2018-02-19')",0.1
"('lacleman_gland_lecoanets', '2018-03-18')",3.95
"('lacleman_gland_lecoanets', '2020-06-15')",1.43
"('lacleman_gland_lecoanets', '2020-10-27')",1.4300000000000002
"('lacleman_vidy_santie', '2017-04-30')",11.77
"('lacleman_vidy_santie', '2017-05-23')",18.61
"('lacleman_vidy_santie', '2017-06-16')",13.75
"('lacleman_vidy_santie', '2017-07-21')",8.55
"('lacleman_vidy_santie', '2017-08-25')",10.07
"('lacleman_vidy_santie', '2017-09-26')",6.25
"('lacleman_vidy_santie', '2017-10-24')",4.02
"('lacleman_vidy_santie', '2017-11-17')",2.9
"('lacleman_vidy_santie', '2017-12-26')",3.35
"('lacleman_vidy_santie', '2018-01-23')",6.5
"('lacleman_vidy_santie', '2018-02-26')",7.680000000000001
"('lacleman_vidy_santie', '2018-03-26')",9.23
"('le-pierrier', '2016-01-13')",11.36
"('le-pierrier', '2016-03-14')",26.82
"('le-pierrier', '2016-05-30')",14.83
"('le-pierrier', '2017-05-25')",18.36
"('le-pierrier', '2020-11-17')",2.68
"('le-port', '2016-04-19')",33.55
"('maladaire', '2016-03-31')",12.25
"('maladaire', '2016-05-31')",11.719999999999999
"('maladaire', '2020-05-28')",4.43
"('maladaire', '2020-06-28')",15.45
"('maladaire', '2020-07-29')",2.23
"('maladaire', '2020-08-31')",3.37
"('maladaire', '2020-09-30')",2.86
"('maladaire', '2020-10-29')",0.92
"('maladaire', '2020-11-27')",1.58
"('maladaire', '2020-12-29')",2.3200000000000003
"('maladaire', '2021-01-29')",2.34
"('maladaire', '2021-03-02')",1.99
"('maladaire', '2021-03-30')",1.08
"('maladaire', '2021-05-01')",1.75
