location,code,groupname,quantity,description,material
parc-des-pierrettes,G1,food and drink,0,Six pack rings,Plastic
parc-des-pierrettes,G10,food and drink,1,Food containers single use foamed or plastic,Plastic
parc-des-pierrettes,G100,waste water,66,Medical; containers/tubes/ packaging,Plastic
parc-des-pierrettes,G101,personal items,0,Dog feces bag,Plastic
parc-des-pierrettes,G102,personal items,0,Flip-flops,Plastic
parc-des-pierrettes,G103,micro plastics (< 5mm),0,Plastic fragments rounded <5mm,Plastic
parc-des-pierrettes,G104,micro plastics (< 5mm),0,Plastic fragments subrounded <5mm,Plastic
parc-des-pierrettes,G105,micro plastics (< 5mm),0,Plastic fragments subangular <5mm,Plastic
parc-des-pierrettes,G106,micro plastics (< 5mm),1,Plastic fragments angular <5mm,Plastic
parc-des-pierrettes,G107,micro plastics (< 5mm),0,Cylindrical pellets < 5mm,Plastic
parc-des-pierrettes,G108,micro plastics (< 5mm),0,disk pellets  <5mm,Plastic
parc-des-pierrettes,G109,micro plastics (< 5mm),0,Flat pellets  <5mm,Plastic
parc-des-pierrettes,G11,recreation,0,"Cosmetics for the beach, e.g. sunblock",Plastic
parc-des-pierrettes,G111,micro plastics (< 5mm),0,Spheruloid pellets < 5mm,Plastic
parc-des-pierrettes,G112,micro plastics (< 5mm),11,Industrial pellets (nurdles),Plastic
parc-des-pierrettes,G113,micro plastics (< 5mm),0,Filaments  <5mm,Plastic
parc-des-pierrettes,G114,micro plastics (< 5mm),0,Films  <5mm,Plastic
parc-des-pierrettes,G115,micro plastics (< 5mm),0,Foamed  plastic <5mm,Plastic
parc-des-pierrettes,G116,micro plastics (< 5mm),0,Granules <5mm,Plastic
parc-des-pierrettes,G117,micro plastics (< 5mm),1,Styrofoam < 5mm,Plastic
parc-des-pierrettes,G118,micro plastics (< 5mm),3,Small industrial spheres <5mm,Plastic
parc-des-pierrettes,G119,micro plastics (< 5mm),0,Sheetlike user plastic (>1mm),Plastic
parc-des-pierrettes,G12,personal items,0,"Cosmetics, non-beach use personal care containers",Plastic
parc-des-pierrettes,G122,micro plastics (< 5mm),0,Plastic fragments ( >1mm),Plastic
parc-des-pierrettes,G123,micro plastics (< 5mm),0,Polyurethane granules < 5mm,Plastic
parc-des-pierrettes,G124,unclassified,0,Other plastic or foam products,Plastic
parc-des-pierrettes,G125,recreation,3,Balloons and balloon sticks,Rubber
parc-des-pierrettes,G126,recreation,0,Balls,Rubber
parc-des-pierrettes,G128,unclassified,2,Tires and belts,Rubber
parc-des-pierrettes,G129,unclassified,0,Inner tubes and rubber sheets,Rubber
parc-des-pierrettes,G13,agriculture,0,"Bottles, containers, drums to transport, store material",Plastic
parc-des-pierrettes,G131,personal items,0,Rubber bands,Rubber
parc-des-pierrettes,G132,recreation,0,Bobbers (fishing),Rubber
parc-des-pierrettes,G133,waste water,0,Condoms incl. packaging,Rubber
parc-des-pierrettes,G134,unclassified,0,Other rubber,Rubber
parc-des-pierrettes,G135,personal items,0,"Clothes, footware, headware, gloves",Cloth
parc-des-pierrettes,G136,personal items,0,Shoes,Cloth
