slug,use,magnitude,hex minus,scaled,binned
versoix-p,infrastructure,101500,2490746.0,0.040750843321639384,1
versoix-p,recreation,1618,2490746.0,0.0006496045762996308,1
versoix-p,See,3354926,2490746.0,1.3469562934157076,
versoix-p,Siedl,2189812,2490746.0,0.8791791696142441,18
versoix-p,Wald,152098,2490746.0,0.06106523908901189,2
versoix-p,undefined,148836,2490746.0,0.05975559129674403,2
aabach,See,1867613,3978059.0,0.4694784567046391,10
aabach,Siedl,999929,3978059.0,0.25136102807927185,6
aabach,Sumpf,535776,3978059.0,0.13468276865677456,3
aabach,Wald,1265264,3978059.0,0.3180606421372835,7
aare-limmatspitz,Siedl,1907378,5845672.0,0.3262889193919878,7
aare-limmatspitz,Wald,1423527,5845672.0,0.24351811049268587,5
aare-port,Siedl,2661853,5845672.0,0.45535449132281114,10
aare-port,Wald,1870024,5845672.0,0.3198988927192631,7
aare-solothurn-lido-strand,Siedl,1561316,5845672.0,0.26708922430132925,6
aare-solothurn-lido-strand,Wald,1572205,5845672.0,0.2689519699360484,6
aare_bern_caveltin,Siedl,2637173,5845672.0,0.45113256439978155,10
aare_bern_caveltin,Sumpf,74725,5845672.0,0.012782961479877763,1
aare_bern_caveltin,Wald,1082375,5845672.0,0.1851583530516252,4
aare_bern_gerberm,Siedl,2624378,5845672.0,0.4489437655756259,9
aare_bern_gerberm,Wald,782002,5845672.0,0.1337745258372348,3
aare_bern_scheurerk,Siedl,3511904,5845672.0,0.6007699371432403,13
aare_bern_scheurerk,Wald,1364729,5845672.0,0.23345972883870322,5
aare_brugg_buchie,Siedl,2596008,5845672.0,0.4440906024149148,9
aare_brugg_buchie,Wald,1278119,5845672.0,0.21864363925995164,5
aare_elfenau_cataldiv,Siedl,3779098,5845672.0,0.6464779412871609,13
aare_elfenau_cataldiv,Wald,1100394,5845672.0,0.18824080447893757,4
aare_kehrsatz_stolten,Siedl,2299086,5845672.0,0.393297126489478,8
aare_kehrsatz_stolten,Sumpf,74725,5845672.0,0.012782961479877763,1
aare_kehrsatz_stolten,Wald,588321,5845672.0,0.10064215029512433,3
aare_koniz_hoppej,See,11587,5845672.0,0.0019821502130122934,1
aare_koniz_hoppej,Siedl,4397858,5845672.0,0.7523271918095986,16
aare_koniz_hoppej,Stadtzentr,21044,5845672.0,0.003599928288826332,1
aare_koniz_hoppej,Wald,919190,5845672.0,0.1572428285404997,4
aare_post,Siedl,2665961,5845672.0,0.4560572334540836,10
aare_post,Wald,1835917,5845672.0,0.3140643197223518,7
aare_rupperswil_badert,Reben,12830,5845672.0,0.002194786159743482,1
aare_rupperswil_badert,See,17927,5845672.0,0.00306671328805311,1
aare_rupperswil_badert,Siedl,616088,5845672.0,0.10539216021699473,3
aare_rupperswil_badert,Wald,3496100,5845672.0,0.5980663985252679,12
aare_solothurn_nguyena,Siedl,1823587,5845672.0,0.3119550669281479,7
aare_solothurn_nguyena,Stadtzentr,57357,5845672.0,0.009811874494497809,1
aare_solothurn_nguyena,Wald,1574382,5845672.0,0.26932438220960736,6
aare_suhrespitz_badert,Siedl,3342522,5845672.0,0.5717943120996183,12
aare_suhrespitz_badert,Wald,876407,5845672.0,0.14992408058474715,3
