slug,magnitude,use,hex minus,scaled
aubonne,29171,infrastructure,2505894,0.0116409552838228
baby-plage,658005,infrastructure,3662673,0.1796515823279883
bouveret,87692,infrastructure,3392184,0.0258511920343943
clarens,202006,infrastructure,2646485,0.0763299244091691
crans,71056,infrastructure,3199614,0.0222076788012554
cully-p,35219,infrastructure,3631730,0.009697582144047
gland,104163,infrastructure,3377174,0.0308432434929322
grangettes,11794,infrastructure,2485049,0.0047459828759915
hermance,7636,infrastructure,3851435,0.0019826376402561
lutry,66195,infrastructure,3187666,0.0207659773640023
pichette,8822,infrastructure,3333112,0.0026467757459095
port-choiseul,208865,infrastructure,3011904,0.0693464997556363
preverenges-p,52817,infrastructure,3021302,0.0174815361059569
rolle,56405,infrastructure,3255752,0.0173247225218628
savoniere,72338,infrastructure,2244920,0.0322229745380681
tolochenaz-p,18041,infrastructure,2162736,0.0083417485999215
versoix-p,101500,infrastructure,2490746,0.0407508433216393
vidy-p,542690,infrastructure,3091890,0.1755204745317589
aubonne,5506,recreation,2505894,0.0021972198345181
baby-plage,189642,recreation,3662673,0.0517769399561467
bouveret,133908,recreation,3392184,0.0394754529825033
clarens,20396,recreation,2646485,0.0077068262242181
crans,31469,recreation,3199614,0.0098352488768957
cully-p,14182,recreation,3631730,0.0039050259793541
gland,3649,recreation,3377174,0.0010804891900743
grangettes,94379,recreation,2485049,0.0379787279848405
hermance,11529,recreation,3851435,0.0029934297216492
lutry,21603,recreation,3187666,0.0067770588261128
pichette,25821,recreation,3333112,0.0077468143884753
port-choiseul,41739,recreation,3011904,0.0138580114107222
preverenges-p,64829,recreation,3021302,0.0214573054927974
rolle,56647,recreation,3255752,0.0173990525076848
savoniere,25725,recreation,2244920,0.0114592056732533
tolochenaz-p,6707,recreation,2162736,0.0031011644509547
versoix-p,1618,recreation,2490746,0.0006496045762996
vidy-p,308422,recreation,3091890,0.0997519316663917
aubonne,322046,Obstanlage,2505894,0.1285154120645167
aubonne,446013,Reben,2505894,0.1779855811937775
aubonne,3339778,See,2505894,1.3327690636555258
aubonne,186696,Siedl,2505894,0.0745027523111512
aubonne,429887,Wald,2505894,0.1715503528880311
baby-plage,2182999,See,3662673,0.5960125296470637
baby-plage,3289317,Siedl,3662673,0.8980646101904265
baby-plage,310908,Stadtzentr,3662673,0.0848855467031864
bouveret,2453488,See,3392184,0.7232768033809487
bouveret,1650333,Siedl,3392184,0.4865104605174719
bouveret,382230,Sumpf,3392184,0.1126796187942635
bouveret,1104800,Wald,3392184,0.3256898800300927
clarens,74578,Reben,2646485,0.0281800199132056
clarens,3199187,See,2646485,1.208843806029507
clarens,2571064,Siedl,2646485,0.9715014443686626
crans,188705,Reben,3199614,0.0589774266520899
crans,2646058,See,3199614,0.8269928810162726
crans,1174259,Siedl,3199614,0.3670002068999573
cully-p,14655,Obstanlage,3631730,0.0040352669388968
cully-p,1912096,Reben,3631730,0.5264972891707258
cully-p,2213942,See,3631730,0.6096108466213072
cully-p,811390,Siedl,3631730,0.2234169390345648
cully-p,199355,Wald,3631730,0.0548925718596922
gland,92784,Obstanlage,3377174,0.0274738583205958
gland,134446,Reben,3377174,0.0398102081799753
gland,2468498,See,3377174,0.7309359837544646
gland,1463391,Siedl,3377174,0.4333182122093797
gland,506892,Wald,3377174,0.1500935397465455
grangettes,3360623,See,2485049,1.35233671448732
grangettes,1105565,Sumpf,2485049,0.4448865998215729
grangettes,926758,Wald,2485049,0.3729334914522812
hermance,80919,Reben,3851435,0.0210100910439875
hermance,1994237,See,3851435,0.5177906416699231
hermance,560868,Siedl,3851435,0.1456257213220526
lutry,1198283,Reben,3187666,0.3759123446433848
lutry,2658006,See,3187666,0.8338408101727094
lutry,1944331,Siedl,3187666,0.6099544306084765
pichette,1058408,Reben,3333112,0.3175434848873965
pichette,2512560,See,3333112,0.7538180535187536
pichette,1186875,Siedl,3333112,0.3560861441199696
pichette,175170,Wald,3333112,0.0525544896181106
port-choiseul,7565,Obstanlage,3011904,0.0025117002401138
port-choiseul,2833768,See,3011904,0.9408560166592296
port-choiseul,2525380,Siedl,3011904,0.8384662990586685
port-choiseul,110813,Wald,3011904,0.0367916772911752
preverenges-p,218352,Obstanlage,3021302,0.0722708289340158
preverenges-p,77888,Reben,3021302,0.0257796142193001
preverenges-p,2824370,See,3021302,0.9348188297627976
