slug,NAMN,dist
bodensee_horn_huberm,Steinach,904.000000000000000
linth_mollis,Flybach,872.000000000000000
seemuhlestrasse-strand,Seez,1006.000000000000000
bielersee_vinelz_fankhausers,Mülibach,483.000000000000000
seemuhlestrasse-strand,Kanal Platz,899.000000000000000
untertenzen,Talbach,173.000000000000000
mols-rocks,Seez,1016.000000000000000
rivapiana,Riale Rabissale,459.000000000000000
greifensee_uster_fischerb_-2,Aabach,432.000000000000000
sempachersee_sempach_tampec,Lipperütibach,1269.000000000000000
weissenau-neuhaus,Aare,1253.000000000000000
linth_mollis,Linthkanal,349.000000000000000
lacleman_vidy_santie,La Mèbre,267.000000000000000
rastplatz-stampf,Jona,87.000000000000000
katzenbach_zuerich_sanesim,Furtbach,1370.000000000000000
pont-sous-terre,Le Rhône,1367.000000000000000
sentiero-giro-del-golf-spiaggia,Maggia,1170.000000000000000
strandboden-biel,Aare,1016.000000000000000
zurichsee-feldeggstr-banningersand,Wildbach,877.000000000000000
seemuhlestrasse-strand,Tscherlerbach,623.000000000000000
gasi-strand,Flybach,749.000000000000000
schmerikon-bahnhof-strand,Linthkanal,741.000000000000000
nidau-strand,Aare,475.000000000000000
zurcher-strand,Zürichsee,335.000000000000000
murg-bad,Murgbach,271.000000000000000
flibach-river-right-bank,Linth,1291.000000000000000
preverenges,Le Venoge,1087.000000000000000
sundbach-strand,Fitzligraben,165.000000000000000
gasi-strand,Linth,665.000000000000000
impromptu_cudrefin,Ruisseau de la Molliette,1024.000000000000000
muhlehorn-dorf,Rötibach,1229.000000000000000
linthdammweg,Walensee,538.000000000000000
flibach-river-right-bank,Flybach,43.000000000000000
strandbeiz,Jona,31.000000000000000
quai-maria-belgia,L'Ognona,1240.000000000000000
katzensee_regensdorfzuerichaffoltern_stueberj,Ob. Chatzensee,479.000000000000000
arabie,L'Ognona,1450.000000000000000
rivapiana,Navegna,1126.000000000000000
linth_route9brucke,Flybach,1294.000000000000000
baye-de-montreux-d,Baye de Montreux,48.000000000000000
oben-am-see,Glyssibach,988.000000000000000
zuerichsee_zurich_kullg,Wildbach,259.000000000000000
la-petite-plage,La Thielle,1065.000000000000000
seeflechsen,Linth,1261.000000000000000
seemuhlestrasse-strand,Helgenbach,194.000000000000000
tolochenaz,Le Boiron de Nyon,777.000000000000000
plage-de-dorigny,La Mèbre,275.000000000000000
pecos-plage,La Brine,798.000000000000000
zurichsee-feldeggstr-banningersand,Zürichsee,840.000000000000000
magadino-lido,Ticino,1108.000000000000000
gerra-gambarogno,N_P,1346.000000000000000
oyonne,La Veveyse,1406.000000000000000
rivapiana,Ramogna,896.000000000000000
seez,Helgenbach,1152.000000000000000
zurichsee-feldeggstr-banningersand,Schanzengraben,840.000000000000000
pfafikon-bad,Sarenbach,615.000000000000000
aabach,Aabach,89.000000000000000
preverenges-le-sout,Le Venoge,422.000000000000000
rocky-plage,Le Rhône,1320.000000000000000
schmerikon-bahnhof-strand,Alt Linth,848.000000000000000
hafeli,Lütschine,112.000000000000000
walensee_walenstadt_wysse,Seez,218.000000000000000
delta-park,Kander,433.000000000000000
wycheley,Aare,261.000000000000000
flibach-river-right-bank,Linthkanal,512.000000000000000
mols-rocks,Kanal Platz,1110.000000000000000
greifensee_uster_fischerb_1,Dorfbach,1240.000000000000000
signalpain,Le Buron,289.000000000000000
strandboden-biel,La Suze,137.000000000000000
seez_spennwiesenbrucke,Tscherlerbach,1342.000000000000000
anarchy-beach,L'Ognona,1167.000000000000000
flibach-river-right-bank,Walensee,512.000000000000000
jona-river-rastplatz,Jona,94.000000000000000
