OBJECTID,OBJORIG,DATEOFCHNG,GEWISSNR,NAMN,LAUFNR,BREITE,KLASSE,LINST,GWLNR,EXS,HOC,UUID,OBJORIG_YE,OBJVAL,slug,latitude,longitude,city,water_name,water,length
"18904",TLM,2020/01/28,"8870",St. Alban-Teich,"0","7","8",CH,CH0088700000,Not applicable,Natural,{D6A64CE9-085A-47A9-B029-AD65406DED89},"2019",Fluss,rhein_basel,47.556801800000002,7.601085600000000,Basel,Rhein,r,"1451"
"12757",GN200,2010/09/17,"471",Gürbe,"0","7","7",CH,CH0004710000,Not applicable,Natural,{FA1DF3C0-E0C8-4479-9B68-F8D9CB58B9C2},"2010",Fluss,aare_elfenau_cataldiv,46.931020099999998,7.462960500000000,Bern,Aare,r,"524"
"17881",GN200,2011/01/17,"1280",Urtene,"0","8","8",CH,CH0012800000,Not applicable,Natural,{99896E2C-B973-433F-A370-1DC0A428806B},"2007",Fluss,emme_utzenstorf_gruttert,47.123696000000002,7.539627000000000,Utzenstorf,Emme,r,"1202"
"11848",GN200,2005/09/15,"571",Jona,"999","7","7",CH,CH0005710999,Not applicable,Natural,{4F1B60ED-21EE-4C03-AB0F-E9D5206F7FF2},"2004",Seeachse,strandbeiz,47.215861699999998,8.843098400000002,Rapperswil-Jona,Zürichsee,l,"1771"
"20188",TLM,2020/07/22,"127",Le Venoge,"0","8","7",CH,CH0001270000,Not applicable,Natural,{35439273-7935-4574-A622-7BF6A0A0AF12},"2020",Fluss,saint-sulpice,46.507807999999997,6.545344000000000,Saint-Sulpice (VD),Lac Léman,l,"2069"
"15068",TLM,2020/07/03,"2816",Schäflibach,"0","9","9",CH,CH0028160000,Not applicable,Natural,{05198A5B-FB4A-4F33-8FA2-862BFCACEE85},"2020",Fluss,limmat_dietikon_keiserp,47.407989100000002,8.409539799999999,Dietikon,Limmat,r,"524"
"15478",TLM,2015/09/21,"37",Aare,"0","14","4",CH,CH0000370000,Naviguable and operational,Man-made,{EECD64B5-AD0A-4507-BFE7-015F251569B7},"2015",Fluss,aare_post,47.116664999999998,7.271953000000000,Port,Nidau-Büren-Kanal,r,"3383"
"13799",TLM,2020/07/02,"2025",Chatzenbach,"0","9","9",CH,CH0020250000,Not applicable,Natural,{14DE93B9-35A3-47E4-9A68-107472D2CDAD},"2020",Fluss,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zürich,Katzensee,l,"2314"
"12372",GN200,2010/09/09,"216",Le Buron,"0","8","8",CH,CH0002160000,Not applicable,Natural,{3F8BC9CB-0743-4AB0-BC77-0772F815ECF3},"2010",Fluss,signalpain,46.786200000000001,6.647360000000000,Yverdon-les-Bains,Neuenburgersee,l,"1825"
"11960",TLM,2021/07/27,"1475",Schifffahrtskanal,"0","20","10",CH,CH0014750000,Not applicable,Man-made,{2C21AAC7-11C7-40CC-B8C5-63FAF7E0E058},"2021",Fluss,weissenau-neuhaus,46.676583000000001,7.817528000000000,Unterseen,Thunersee,l,"287"
"18904",TLM,2020/01/28,"8870",St. Alban-Teich,"0","7","8",CH,CH0088700000,Not applicable,Natural,{D6A64CE9-085A-47A9-B029-AD65406DED89},"2019",Fluss,birs_basel_laderachs,47.546049699999998,7.622598100000000,Basel,Birs,r,"2818"
