OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",ascona-traghetto-spiaggia,Lago Maggiore,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",canale-saleggi,Ticino,r
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",caprino,Lago di Lugano,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",foce-del-cassarate,Cassarate,r
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",gerra-gambarogno,Lago Maggiore,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",golene-gudo,Ticino,r
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",isole-di-brissago-porto,Lago Maggiore,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",lido,Lago di Lugano,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",lugano-centro,Lago di Lugano,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",magadino-lido,Lago Maggiore,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",pacha-mama-gerra,Lago Maggiore,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",rivapiana,Lago Maggiore,l
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",route-13,Maggia,r
"75",{96F9AB8E-4D35-4A62-938D-5E991D9D7B60},2020/03/11,Kanton,CH21000000,2812.320000000000164,Ticino,CH,"350986",san-nazzaro-gambarogno,Lago Maggiore,l
