OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,location,water_name,slug,key,water
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",Baby Plage-pk,lac-leman,baby-plage-pk,Baby Plage,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",Hermance-pk,lac-leman,hermance-pk,Hermance,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",Port Choiseul-pk,lac-leman,port-choiseul-pk,Port Choiseul,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",Savonière-pk,lac-leman,savoniere-pk,Savonière,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",Versoix-pk,lac-leman,versoix-pk,Versoix,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",Aubonne-pk,lac-leman,aubonne-pk,Aubonne,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",Clarens-pk,lac-leman,clarens-pk,Clarens,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",Crans-pk,lac-leman,crans-pk,Crans,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",Cully-pk,lac-leman,cully-pk,Cully,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",Gland-pk,lac-leman,gland-pk,Gland,l
