OBJORIG_YE,OBJORIG,OBJECTID,DATEOFCHNG,NAMN1,NAMN2,UUID,OBJVAL,NLN1,NLN2,slug,latitude,longitude,city,water_name,water,area
"2021",NMA_DEU,"1267",2021/05/27,N_A,N_A,{936A9C83-FAB8-4A1C-99DF-13332271E1F5},Wald,N_A,N_A,rhein_hemishofen_stolll,47.675523599999998,8.828029200000000,Hemishofen,Rhein,r,"1034304"
"2022",TLM,"1492",2022/04/04,N_A,N_A,{2C9B7896-1405-453A-AEF8-0D64085BC6D0},Wald,N_A,N_A,berlingen-swisslitterreport,47.672431199999998,9.011055300000001,Berlingen,Untersee,l,"1364309"
"2022",TLM,"1492",2022/04/04,N_A,N_A,{2C9B7896-1405-453A-AEF8-0D64085BC6D0},Wald,N_A,N_A,unterdsee_ermatingen_brunkem,47.672633300000001,9.081246200000001,Ermatingen,Untersee,l,"176185"
"2020",TLM,"1601",2020/04/15,N_A,N_A,{FE0166ED-12D9-4027-8FD0-CC86421D05E4},Wald,N_A,N_A,mammern-swisslitterreport,47.655836600000001,8.955316800000000,Steckborn,Untersee,l,"1573372"
"1993",LK200,"2068",2005/01/01,N_A,N_A,{5CAC4183-6585-4298-B2DB-5BC0200D92C4},Wald,N_A,N_A,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,Eglisau,Rhein,r,"326714"
"2021",TLM,"2114",2021/08/03,N_A,N_A,{478162DC-6BD6-4744-A26F-A66BD08F8A83},Wald,N_A,N_A,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,Eglisau,Rhein,r,"511944"
"2022",TLM,"2122",2022/04/04,N_A,N_A,{58C901C4-02D0-4810-ACB3-A7F47B4C615F},Wald,N_A,N_A,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,Eglisau,Rhein,r,"34796"
"2020",TLM,"2190",2020/05/14,N_A,N_A,{BEB31CF1-385C-40DB-A260-F549CD3EE146},Wald,N_A,N_A,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,Eglisau,Rhein,r,"359357"
"2007",GN200,"2312",2007/09/21,N_A,N_A,{FE24F25C-99BF-4777-A07C-5AC3F1707368},Wald,N_A,N_A,birs_basel_grunern,47.551127600000001,7.622198800000000,Basel,Birs,r,"364109"
"2007",GN200,"2312",2007/09/21,N_A,N_A,{FE24F25C-99BF-4777-A07C-5AC3F1707368},Wald,N_A,N_A,birs_basel_laderachs,47.546049699999998,7.622598100000000,Basel,Birs,r,"562358"
"1993",LK200,"2323",2005/01/01,N_A,N_A,{2060C86F-F417-4901-A33F-F9DE16079D4E},Wald,N_A,N_A,thur_schoenenberg_schaera,47.524072599999997,9.198334700000000,Kradolf-Schönenberg,Thur,r,"101412"
"2022",TLM,"2351",2022/04/05,N_A,N_A,{A7F75AEC-9160-4DE1-9678-C2D98C079D99},Wald,N_A,N_A,thur_schoenenberg_schaera,47.524072599999997,9.198334700000000,Kradolf-Schönenberg,Thur,r,"381354"
"2019",TLM,"2389",2019/06/05,N_A,N_A,{D1A1F7CA-C58A-4C46-84B2-9D5E43B31E2C},Wald,N_A,N_A,thur_schoenenberg_schaera,47.524072599999997,9.198334700000000,Kradolf-Schönenberg,Thur,r,"370671"
"2021",TLM,"2390",2021/08/03,N_A,N_A,{8CB24D9B-1586-4DD3-B1C9-02175A2836EB},Wald,N_A,N_A,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"363360"
"2015",TLM,"2423",2015/01/28,N_A,N_A,{FC28A6DF-6E63-481D-88CB-BE4DA7A790BF},Wald,N_A,N_A,thur_schoenenberg_schaera,47.524072599999997,9.198334700000000,Kradolf-Schönenberg,Thur,r,"144115"
"2020",TLM,"2442",2020/05/14,N_A,N_A,{7C353A73-7781-41B5-8CBD-F0EE0A97DD91},Wald,N_A,N_A,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"773925"
"2021",TLM,"2501",2021/08/12,N_A,N_A,{758BD382-7B77-4336-AD82-3B1AA1FE91BA},Wald,N_A,N_A,birs_reinach_dinuccin,47.503681700000001,7.607008500000000,Reinach (BL),Birs,r,"272196"
"1993",LK200,"2507",2005/01/01,N_A,N_A,{21614F73-899A-442D-8D0E-ECF76836C2FE},Wald,N_A,N_A,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"78493"
"2019",TLM,"2532",2019/06/06,N_A,N_A,{9560D145-C4B5-4CCD-AB2E-C8BBB4F2E163},Wald,N_A,N_A,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"91126"
"2020",TLM,"2537",2020/05/14,N_A,N_A,{34D28010-E6D9-4057-A64A-14F22E7777AA},Wald,N_A,N_A,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"707437"
"2020",TLM,"2537",2020/05/14,N_A,N_A,{34D28010-E6D9-4057-A64A-14F22E7777AA},Wald,N_A,N_A,aare_brugg_buchie,47.494855299999998,8.236558100000000,Brugg,Aare,r,"565114"
"2010",GN200,"2573",2010/09/21,N_A,N_A,{AF64EA8D-8DFB-4252-873C-719E47CA9017},Wald,N_A,N_A,aare-limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,Aare,r,"274237"
"2010",GN200,"2573",2010/09/21,N_A,N_A,{AF64EA8D-8DFB-4252-873C-719E47CA9017},Wald,N_A,N_A,aare_brugg_buchie,47.494855299999998,8.236558100000000,Brugg,Aare,r,"585397"
"1993",LK200,"2594",2005/01/01,N_A,N_A,{9311CDC2-FA64-40CC-84BF-538C3F5D6237},Wald,N_A,N_A,murg_waengi_strickerr,47.493609999999997,8.961592800000000,Wängi,Murg,r,"69265"
"2020",TLM,"2614",2020/04/16,N_A,N_A,{23745D17-BAD7-4E97-89E4-089A37E62D05},Wald,N_A,N_A,goldach_goldach_schlachterj,47.473911100000002,9.459309400000000,Goldach,Goldach,r,"219433"
"2022",TLM,"2615",2022/04/26,N_A,N_A,{5C6A16AD-EB0F-4B40-BF03-901475FFF431},Wald,N_A,N_A,grendelbach_effretikon_dambonec,47.425649100000001,8.690706199999999,Illnau-Effretikon,Grändelbach,r,"755304"
"2022",TLM,"2615",2022/04/26,N_A,N_A,{5C6A16AD-EB0F-4B40-BF03-901475FFF431},Wald,N_A,N_A,toss_kollbrunn_burgid,47.454569800000002,8.779680000000004,Zell (ZH),Töss,r,"1649876"
"2022",TLM,"2615",2022/04/26,N_A,N_A,{5C6A16AD-EB0F-4B40-BF03-901475FFF431},Wald,N_A,N_A,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"2265362"
"1993",LK200,"2621",2005/01/01,N_A,N_A,{EB9F77DF-0C34-4C6E-8CC9-9129DECB7E46},Wald,N_A,N_A,murg_waengi_strickerr,47.493609999999997,8.961592800000000,Wängi,Murg,r,"119"
"2021",TLM,"2631",2021/08/12,N_A,N_A,{B0774FA7-3C14-4E96-B4E4-B46CCB4C245B},Wald,N_A,N_A,birs_reinach_dinuccin,47.503681700000001,7.607008500000000,Reinach (BL),Birs,r,"693635"
"2020",TLM,"2636",2020/05/14,N_A,N_A,{7C2E6AC7-EB06-45BB-9DE3-5B00FE59E627},Wald,N_A,N_A,aare_brugg_buchie,47.494855299999998,8.236558100000000,Brugg,Aare,r,"127608"
"2021",TLM,"2644",2022/04/07,N_A,N_A,{4AD0208F-3665-4217-BE72-BEF55AD12BA2},Wald,N_A,N_A,toss_kollbrunn_burgid,47.454569800000002,8.779680000000004,Zell (ZH),Töss,r,"932607"
"2021",TLM,"2664",2021/07/28,N_A,N_A,{671EC19D-5F01-49E5-932B-BE9687F038E3},Wald,N_A,N_A,bodensee_thal_schlachterj_1,47.486216300000002,9.543909899999999,Thal,Bodensee,l,"356"
"2019",TLM,"2674",2019/06/11,N_A,N_A,{55B0E443-74F8-45BD-8708-F059CB83D345},Wald,N_A,N_A,goldach_goldach_schlachterj,47.473911100000002,9.459309400000000,Goldach,Goldach,r,"84576"
"2017",TLM,"2686",2022/04/06,N_A,N_A,{7CEA6794-A2A0-43BB-AAB7-C490DAD6B2D4},Wald,N_A,N_A,toss_kollbrunn_burgid,47.454569800000002,8.779680000000004,Zell (ZH),Töss,r,"96367"
"2021",TLM,"2719",2021/07/28,N_A,N_A,{CFB019F4-F66A-4535-8C66-CEA29549C387},Wald,N_A,N_A,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,Wil (SG),Thur,r,"363883"
"2020",TLM,"2733",2020/05/14,N_A,N_A,{0291B849-2AD0-4B06-9843-91F396E241B8},Wald,N_A,N_A,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zürich,Katzensee,l,"41130"
"2020",TLM,"2733",2020/05/14,N_A,N_A,{0291B849-2AD0-4B06-9843-91F396E241B8},Wald,N_A,N_A,katzensee_regensdorfzuerichaffoltern_stueberj,47.431128100000002,8.492924300000000,Zürich,Katzensee,l,"37754"
"1993",LK200,"2804",2005/01/01,N_A,N_A,{ECE99BE1-BE43-4934-9C54-956F886E47C2},Wald,N_A,N_A,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,Wil (SG),Thur,r,"164833"
"2019",TLM,"2817",2019/06/06,N_A,N_A,{B2DDE89D-AACD-4766-8F78-4F0CC36F6B3A},Wald,N_A,N_A,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,Wil (SG),Thur,r,"62644"
"2021",TLM,"2819",2021/07/28,N_A,N_A,{9D8E70EF-7241-4570-AC6D-D7D51DA4D4CD},Wald,N_A,N_A,sitter_gaiserwald_buehlerf,47.425160900000002,9.340103700000000,St. Gallen,Sitter,r,"108012"
"2019",TLM,"2840",2019/06/06,N_A,N_A,{E2637ED5-2B66-4B6D-AA17-195A776B0B61},Wald,N_A,N_A,grendelbach_effretikon_dambonec,47.425649100000001,8.690706199999999,Illnau-Effretikon,Grändelbach,r,"379913"
"2022",TLM,"2852",2022/04/26,N_A,N_A,{430A6E7B-C3CF-48C2-B475-70F38260BC13},Wald,N_A,N_A,aare_rupperswil_badert,47.410308999999998,8.112553699999999,Rupperswil,Aare,r,"3496100"
"2020",TLM,"2854",2020/05/14,N_A,N_A,{DF606180-508C-4561-A717-0AD16BB812BC},Wald,N_A,N_A,katzensee_regensdorfzuerichaffoltern_stueberj,47.431128100000002,8.492924300000000,Zürich,Katzensee,l,"522619"
"2019",TLM,"2881",2019/06/11,N_A,N_A,{3DEB27F5-6841-4750-8848-6B3646223EB2},Wald,N_A,N_A,sitter_gaiserwald_buehlerf,47.425160900000002,9.340103700000000,St. Gallen,Sitter,r,"232963"
"2019",TLM,"2881",2019/06/11,N_A,N_A,{3DEB27F5-6841-4750-8848-6B3646223EB2},Wald,N_A,N_A,sitter_stgallen_jennya,47.410242400000001,9.320376000000000,St. Gallen,Sitter,r,"19058"
"2021",TLM,"2882",2021/06/08,N_A,N_A,{E194B116-CD4D-4C46-AD89-E3F16E7E88A8},Wald,N_A,N_A,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zürich,Katzensee,l,"58579"
"2021",TLM,"2882",2021/06/08,N_A,N_A,{E194B116-CD4D-4C46-AD89-E3F16E7E88A8},Wald,N_A,N_A,katzensee_regensdorfzuerichaffoltern_stueberj,47.431128100000002,8.492924300000000,Zürich,Katzensee,l,"128473"
"2013",TLM,"2892",2014/03/04,N_A,N_A,{3DB6B035-B025-4ABA-8472-3CA7801F20A2},Wald,N_A,N_A,grendelbach_effretikon_dambonec,47.425649100000001,8.690706199999999,Illnau-Effretikon,Grändelbach,r,"78356"
"2016",TLM,"2894",2016/03/22,N_A,N_A,{71882784-332B-4794-A79C-128A8FA5FA58},Wald,N_A,N_A,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zürich,Katzensee,l,"192436"
"2021",TLM,"2895",2021/06/17,N_A,N_A,{E32526B4-FD47-47E1-B3F9-202D8678896C},Wald,N_A,N_A,sitter_stgallen_jennya,47.410242400000001,9.320376000000000,St. Gallen,Sitter,r,"382363"
"2021",TLM,"2895",2021/06/17,N_A,N_A,{E32526B4-FD47-47E1-B3F9-202D8678896C},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"121108"
"2016",TLM,"2914",2016/02/18,N_A,N_A,{6AE64327-4320-495A-AD25-23C3CDFCF316},Wald,N_A,N_A,sitter_stgallen_jennya,47.410242400000001,9.320376000000000,St. Gallen,Sitter,r,"81318"
"2019",TLM,"2915",2019/03/22,N_A,N_A,{D244DA76-BCD2-4A9F-A68D-C35D45CF0F6C},Wald,N_A,N_A,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zürich,Katzensee,l,"39532"
"2022",TLM,"2918",2022/04/07,N_A,N_A,{9D29D96E-15FA-4D8C-93FF-6701373DD9E8},Wald,N_A,N_A,katzensee_regensdorfzuerichaffoltern_stueberj,47.431128100000002,8.492924300000000,Zürich,Katzensee,l,"325524"
"2022",TLM,"2918",2022/04/07,N_A,N_A,{9D29D96E-15FA-4D8C-93FF-6701373DD9E8},Wald,N_A,N_A,limmat_unterengstringen_oggierbuhrer,47.409400300000001,8.446933400000002,Unterengstringen,Limmat,r,"297022"
"2022",TLM,"2918",2022/04/07,N_A,N_A,{9D29D96E-15FA-4D8C-93FF-6701373DD9E8},Wald,N_A,N_A,limmat_zuerich_jansena,47.400024700000003,8.484684700000004,Zürich,Limmat,r,"39975"
"2022",TLM,"2918",2022/04/07,N_A,N_A,{9D29D96E-15FA-4D8C-93FF-6701373DD9E8},Wald,N_A,N_A,limmat_zuerich_wagnerc,47.403495599999999,8.477770100000004,Zürich,Limmat,r,"129250"
"2022",TLM,"2918",2022/04/07,N_A,N_A,{9D29D96E-15FA-4D8C-93FF-6701373DD9E8},Wald,N_A,N_A,limmat_zurich_mortensena_meiera,47.400251500000003,8.485410999999999,Zürich,Limmat,r,"53097"
"2019",TLM,"2929",2019/05/06,N_A,N_A,{A6E0B4C9-2BED-49C0-B9A1-1DAA4E9B9146},Wald,N_A,N_A,glatt_oerlikon_covosn,47.416769100000003,8.566712000000004,Opfikon,Glatt,r,"72803"
"2019",TLM,"2931",2019/03/22,N_A,N_A,{78B504F0-584A-4B75-9FB1-97CCC26C3916},Wald,N_A,N_A,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zürich,Katzensee,l,"369285"
"2004",GN200,"2932",2005/10/27,N_A,N_A,{B63254A9-0455-4EA4-9265-7D7789ABD43D},Wald,N_A,N_A,sitter_stgallen_jennya,47.410242400000001,9.320376000000000,St. Gallen,Sitter,r,"66249"
"2018",TLM,"2936",2018/04/12,N_A,N_A,{6326F427-708E-4598-8B1C-D29E8DAA066A},Wald,N_A,N_A,grendelbach_effretikon_dambonec,47.425649100000001,8.690706199999999,Illnau-Effretikon,Grändelbach,r,"236461"
"2022",TLM,"2944",2022/07/08,N_A,N_A,{1DD6BD0A-EC17-4EA9-8C2C-FE28E678A5FF},Wald,N_A,N_A,sorne_birse_wwfjura,47.370986799999997,7.360909900000000,Delémont,Birs,r,"253568"
