UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,ARE_NAME_U,NAME,slug,latitude,longitude,city,water_name,water,area
{47A042F0-B94B-4DF4-A749-2786C54A2592},2020/06/18,2008/08/27,"2008","5","2020","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{2E6D736F-925D-4AF7-A22F-C1CC93EF41A8},Freibad Töss,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"20470"
{218D857F-57C9-4056-8FF9-449603D2C076},2013/02/01,2008/09/15,"2008","5","2019","6",verbessert,swisstopo,"2011","5",Sportplatzareal,2020_Akt,,,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"37541"
{C0DDDA0B-D7C5-4B25-BB7A-FE5C86039C5C},2020/05/14,2008/11/18,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Sportplatzareal,2020_Akt,,,murg_waengi_strickerr,47.493609999999997,8.961592800000000,Wängi,Murg,r,"26595"
{8F03767F-7012-49AB-95BD-EAEFDE717806},2020/06/18,2009/03/24,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Zooareal,2020_Akt,{85C0F1FA-91F1-4ED8-A98E-E207A073EAA2},Wildpark Bruderhaus,toss_winterthur-2,47.478707300000003,8.708426400000000,Winterthur,Töss,r,"64594"
{AFB46705-60C4-45F3-BC78-C457CAB6B8E6},2020/05/15,2009/06/03,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{2F60C3DA-8B9A-436A-96AA-8C8E7BB6D104},Strandbad Ermatingen,unterdsee_ermatingen_brunkem,47.672633300000001,9.081246200000001,Ermatingen,Untersee,l,"25761"
{6F719BB4-0AB8-4BC2-9EB5-033FCD761FCE},2020/05/15,2009/06/09,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Standplatzareal,2020_Akt,{ABFFE89D-E4F5-40C1-A2AC-206C414052D0},Glarisegg,mammern-swisslitterreport,47.655836600000001,8.955316800000000,Steckborn,Untersee,l,"7597"
{169B7B33-6808-4FA8-809B-679605B6236F},2020/02/27,2009/06/09,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Standplatzareal,2020_Akt,{83890101-9051-4061-9B4D-2A5B47A8B230},Strandbad Steckborn,mammern-swisslitterreport,47.655836600000001,8.955316800000000,Steckborn,Untersee,l,"3277"
{BF2817E0-5ADD-41D3-A979-B287A2B83F7D},2020/05/15,2009/06/09,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{83890101-9051-4061-9B4D-2A5B47A8B230},Strandbad Steckborn,mammern-swisslitterreport,47.655836600000001,8.955316800000000,Steckborn,Untersee,l,"26808"
{DC708F5B-D6F0-44D1-9215-904F74501C2F},2020/06/08,2009/06/15,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Standplatzareal,2020_Akt,{A4FC0B8E-4E74-4106-B175-394C78A8DFEC},Mobilheim-Park Weidenhof,bodensee_horn_huberm,47.498275700000001,9.456978200000000,Horn,Bodensee,l,"31763"
{DC708F5B-D6F0-44D1-9215-904F74501C2F},2020/06/08,2009/06/15,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Standplatzareal,2020_Akt,{A4FC0B8E-4E74-4106-B175-394C78A8DFEC},Mobilheim-Park Weidenhof,bodensee_steinach_dolder_a,47.506299200000001,9.436171399999999,Steinach,Bodensee,l,"31763"
{95AFF5ED-E7B9-42B8-A560-21AF1EE0EA46},2020/06/08,2009/06/15,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{F90E673C-9203-4BD7-851B-72D7C523D771},Seebad Horn,bodensee_horn_huberm,47.498275700000001,9.456978200000000,Horn,Bodensee,l,"9668"
{C59D63F6-5F7B-4D6A-AC18-73000376AD61},2020/06/12,2009/06/19,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{6B5AF624-92AE-479C-B58C-6B0470D97D91},Schwimmbad Thurfeld,thur_schoenenberg_schaera,47.524072599999997,9.198334700000000,Kradolf-Schönenberg,Thur,r,"12673"
{B34BE918-D574-4F31-B551-6DAAA0C816C5},2020/06/08,2009/06/19,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{66C2BDA4-05FA-4AB6-A910-9F0998B2200C},Freibad Speck,bodensee_altenrhein_caluoria,47.486506900000002,9.543966400000000,Thal,Bodensee,l,"19688"
{B34BE918-D574-4F31-B551-6DAAA0C816C5},2020/06/08,2009/06/19,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{66C2BDA4-05FA-4AB6-A910-9F0998B2200C},Freibad Speck,bodensee_thal_schlachterj_1,47.486216300000002,9.543909899999999,Thal,Bodensee,l,"19688"
{6DA02B7B-0788-48B7-AAD5-6168C40EEEA9},2020/06/08,2009/06/19,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{FADC04B4-AE0E-462C-BA00-0B5702533EA8},Strandbad Altenrhein,bodensee_altenrhein_caluoria,47.486506900000002,9.543966400000000,Thal,Bodensee,l,"13148"
{6DA02B7B-0788-48B7-AAD5-6168C40EEEA9},2020/06/08,2009/06/19,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{FADC04B4-AE0E-462C-BA00-0B5702533EA8},Strandbad Altenrhein,bodensee_thal_schlachterj_1,47.486216300000002,9.543909899999999,Thal,Bodensee,l,"13148"
{AAF8BFEB-CB2B-409B-A02C-FE3218F3129B},2015/06/29,2009/06/22,"2008","5","2019","6",verbessert,swisstopo,"2014","6",Schwimmbadareal,2020_Akt,{C7A09034-4720-4BEE-AB73-7BBC07D3ADF2},Strandbad Buchhorn,bodensee_arbon_moslis,47.520888700000000,9.431144000000000,Arbon,Bodensee,l,"80675"
{D0577E6C-709D-4A57-B612-E22E11796786},2020/02/13,2009/06/22,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Campingplatzareal,2020_Akt,{E1302F7E-A670-4222-A920-D8D787D5E935},Buchhorn,bodensee_arbon_moslis,47.520888700000000,9.431144000000000,Arbon,Bodensee,l,"10902"
{63E872F3-CA06-4350-B9FD-0E78A456F6A6},2020/06/19,2009/06/22,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{B43088E8-85BC-447E-B7E6-3B6493A87CAD},Schwimmbad Rotmonten,sitter_stgallen_steinbrunnerf,47.433291699999998,9.358074700000000,St. Gallen,Sitter,r,"15700"
{DD63FF93-B662-4AC2-9F0F-F0B0894A6EF2},2020/06/05,2009/07/01,"2008","5","2019","6",verbessert,swisstopo,"2019","6",Sportplatzareal,2020_Akt,,,bodensee_steinach_dolder_a,47.506299200000001,9.436171399999999,Steinach,Bodensee,l,"38899"
{DE65303E-4767-4D22-890B-3A691D9CED2E},2020/08/26,2009/07/28,"2008","7","2019","6",verbessert,swisstopo,"2019","6",Schwimmbadareal,2020_Akt,{4FED40DB-2D57-4975-AA63-331A33B4F3D9},Freizeitzentrum Säntispark,sitter_stgallen_jennya,47.410242400000001,9.320376000000000,St. Gallen,Sitter,r,"33024"
