sample_id,location,date,feature_name,parent_boundary,city,canton,feature_type,orchards,vineyards,buildings,forest,undefined,public_services,streets,code,pcs/m,quantity,project,region,doy
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,2016-10-13,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9434737923946556,0.0593342981186686,0.019471488178025,1.0,0.3893196638873568,G70,0.04,2,Solid-Waste-Team,Grand lac,
"('parc-des-pierrettes', '2017-10-05')",parc-des-pierrettes,2017-10-05,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9434737923946556,0.0593342981186686,0.019471488178025,1.0,0.3893196638873568,G70,0.0,0,Solid-Waste-Team,Grand lac,
"('parc-des-pierrettes', '2019-10-10')",parc-des-pierrettes,2019-10-10,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9434737923946556,0.0593342981186686,0.019471488178025,1.0,0.3893196638873568,G70,0.03,1,Solid-Waste-Team,Grand lac,
"('parc-des-pierrettes', '2020-10-01')",parc-des-pierrettes,2020-10-01,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9434737923946556,0.0593342981186686,0.019471488178025,1.0,0.3893196638873568,G70,0.04,2,Solid-Waste-Team,Grand lac,
"('plage-de-dorigny', '2017-03-20')",plage-de-dorigny,2017-03-20,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.921891058581706,0.0506512301013024,0.0556328233657858,0.9337315842897989,0.4967070045096194,G70,0.0,0,Solid-Waste-Team,Grand lac,
"('plage-de-st-sulpice', '2016-10-13')",plage-de-st-sulpice,2016-10-13,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.960945529290853,0.0477568740955137,0.0083449235048678,0.8747136178051251,0.2641209486422476,G70,0.06,4,Solid-Waste-Team,Grand lac,
"('plage-de-st-sulpice', '2017-10-05')",plage-de-st-sulpice,2017-10-05,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.960945529290853,0.0477568740955137,0.0083449235048678,0.8747136178051251,0.2641209486422476,G70,0.07,6,Solid-Waste-Team,Grand lac,
"('plage-de-st-sulpice', '2020-10-01')",plage-de-st-sulpice,2020-10-01,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.960945529290853,0.0477568740955137,0.0083449235048678,0.8747136178051251,0.2641209486422476,G70,0.15,6,Solid-Waste-Team,Grand lac,
"('plage-de-st-sulpice', '2021-10-07')",plage-de-st-sulpice,2021-10-07,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.960945529290853,0.0477568740955137,0.0083449235048678,0.8747136178051251,0.2641209486422476,G70,0.0,2,Solid-Waste-Team,Grand lac,
"('saint-sulpice', '2018-11-06')",saint-sulpice,2018-11-06,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.2647058823529412,0.0480167014613778,0.8057553956834533,0.1273516642547033,0.0319888734353268,0.0208133883796386,0.3305972812510138,G70,0.0,0,Solid-Waste-Team,Grand lac,
"('tiger-duck-beach', '2018-10-16')",tiger-duck-beach,2018-10-16,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9229188078108942,0.0506512301013024,0.0556328233657858,0.94904510494635,0.4815884242286604,G70,0.22,4,Solid-Waste-Team,Grand lac,
"('tiger-duck-beach', '2020-07-14')",tiger-duck-beach,2020-07-14,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9229188078108942,0.0506512301013024,0.0556328233657858,0.94904510494635,0.4815884242286604,G70,0.04,1,Solid-Waste-Team,Grand lac,
"('tiger-duck-beach', '2020-10-01')",tiger-duck-beach,2020-10-01,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9229188078108942,0.0506512301013024,0.0556328233657858,0.94904510494635,0.4815884242286604,G70,0.13,4,Solid-Waste-Team,Grand lac,
"('tiger-duck-beach', '2020-11-24')",tiger-duck-beach,2020-11-24,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9229188078108942,0.0506512301013024,0.0556328233657858,0.94904510494635,0.4815884242286604,G70,0.0,0,Solid-Waste-Team,Grand lac,
"('tiger-duck-beach', '2021-10-07')",tiger-duck-beach,2021-10-07,lac-leman,rhone,Saint-Sulpice (VD),Vaud,l,0.0,0.0,0.9229188078108942,0.0506512301013024,0.0556328233657858,0.94904510494635,0.4815884242286604,G70,0.07,2,Solid-Waste-Team,Grand lac,
"('anarchy-beach', '2018-04-02')",anarchy-beach,2018-04-02,lac-leman,rhone,La Tour-de-Peilz,Vaud,l,0.0,0.0,0.9969167523124358,0.0,0.0041724617524339,0.1634492705534087,0.091360347792233,G70,0.0,0,SLR,Haut lac,
"('anarchy-beach', '2021-03-24')",anarchy-beach,2021-03-24,lac-leman,rhone,La Tour-de-Peilz,Vaud,l,0.0,0.0,0.9969167523124358,0.0,0.0041724617524339,0.1634492705534087,0.091360347792233,G70,0.18,5,IQAASL,Haut lac,
"('arabie', '2016-01-24')",arabie,2016-01-24,lac-leman,rhone,Vevey,Vaud,l,0.0,0.1440501043841336,0.9116135662898254,0.0,0.0236439499304589,0.1141244328736503,0.4672809265808,G70,1.15,46,MCBP,Haut lac,
"('arabie', '2016-04-02')",arabie,2016-04-02,lac-leman,rhone,Vevey,Vaud,l,0.0,0.1440501043841336,0.9116135662898254,0.0,0.0236439499304589,0.1141244328736503,0.4672809265808,G70,0.15,6,MCBP,Haut lac,
"('arabie', '2016-08-25')",arabie,2016-08-25,lac-leman,rhone,Vevey,Vaud,l,0.0,0.1440501043841336,0.9116135662898254,0.0,0.0236439499304589,0.1141244328736503,0.4672809265808,G70,0.28,11,MCBP,Haut lac,
"('arabie', '2017-02-16')",arabie,2017-02-16,lac-leman,rhone,Vevey,Vaud,l,0.0,0.1440501043841336,0.9116135662898254,0.0,0.0236439499304589,0.1141244328736503,0.4672809265808,G70,0.17,5,MCBP,Haut lac,
"('arabie', '2018-05-08')",arabie,2018-05-08,lac-leman,rhone,Vevey,Vaud,l,0.0,0.1440501043841336,0.9116135662898254,0.0,0.0236439499304589,0.1141244328736503,0.4672809265808,G70,0.3,9,Solid-Waste-Team,Haut lac,
